menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Sides,,,,Craft Beer Battered Sausage,7.15,standard,Craft Beer Battered Sausage,,,,
,Menu,,,,Sides,,,,Handcut Agria,11.40,standard,These Are Our Famous Hand Cut Chips & Can Be Cooked Separately In Our Gluten Free Fryer If Necessary,,,,https://tb-static.uber.com/prod/image-proc/processed_images/442178a57c3e90bcb7054e328fe7b767/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sides,,,,Crinkle Cut,10.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,,https://tb-static.uber.com/prod/image-proc/processed_images/0c94c1632686b4156ffac4e17fd31918/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sides,,,,Kumara (Sweet Potato),14.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,,https://tb-static.uber.com/prod/image-proc/processed_images/eb986965309f5ffc1bbf185fe49824b9/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sides,,,,Beer Battered Chips,11.40,standard,Not gluten free,,,,https://tb-static.uber.com/prod/image-proc/processed_images/612217910c4bed1a02bee07842a5db1b/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sides,,,,Kid Chicken Tenders,16.30,standard,Free-Range Waitoa Chicken Nuggets With Curly Fries & Tomato Sauce,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/db46e15c6329649d6206d88f230f13db/97ef050b1716893ca6bd911ab6cad524.jpeg
,Menu,,,,Sides,,,,Kid Fish Fingers,16.30,standard,Panko Crumbed Fish Bites With Curly Fries & Tomato Sauce,,,,https://tb-static.uber.com/prod/image-proc/processed_images/c9441cde0f4640aaa6ac0ff98bdc9e46/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Today'S Market Fish,,,,Hoki,19.00,standard,Hoki Fish,,,,https://tb-static.uber.com/prod/image-proc/processed_images/7876c28c11ef82e5012f023a342fb2a9/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Today'S Market Fish,,,,Snapper,26.80,standard,Snapper Fish Serving,,,,https://tb-static.uber.com/prod/image-proc/processed_images/0c94c1632686b4156ffac4e17fd31918/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Today'S Market Fish,,,,Tarakihi,23.60,standard,Tarakihi Fish Serving,,,,https://tb-static.uber.com/prod/image-proc/processed_images/36ccc81f2a4023257bcc52fea19c1691/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,Southern Style Chicken Burger,30.90,standard,"Free-Range Chicken Breast, Chipotle Mayo, Guacamole, Crispy Lettuce, Red Onion & Tomato",,,,https://tb-static.uber.com/prod/image-proc/processed_images/1ce6c0db1573cbb161e067ff16ee8250/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,Halloumi Burger,30.90,standard,"Grilled Zany Zeus Halloumi, Beetroot Hummus, Rocket & Harissa Relish",,,,https://tb-static.uber.com/prod/image-proc/processed_images/488b84972f40d1a03d1189bcd03c3fc1/c67fc65e9b4e16a553eb7574fba090f1.jpeg
