menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Sides,,,,Butter Chicken Swirl Chips. Large,7.50,standard,Large Size Butter Chicken Chips. Only Butter Chicken Sauce.,,,
,Menu,,,,Sides,,,,Nachos,11.00,standard,With cheese and sour cream.,,,
,Menu,,,,Sides,,,,Jalapeno Bites,6.50,standard,6 Pieces of hot and crispy jalapeno bites.,,,
,Menu,,,,Sides,,,,Chips,4.50,standard,Crispy fried potato strips served as a side dish.,,,
,Menu,,,,Sides,,,,Wedges with Sour Cream,9.00,standard,Crisp potato wedges served with a side of tangy sour cream.,,,
,Menu,,,,Sides,,,,Fish,5.00,standard,Fresh fish served as a side dish.,,,
,Menu,,,,Sides,,,,Sausage,2.50,standard,,,,
,Menu,,,,Sides,,,,Crab Stick,2.00,standard,,,,
,Menu,,,,Sides,,,,Onion rings,4.00,standard,Crispy onion slices served as a side dish.,,,
,Menu,,,,Sides,,,,Kumara chips,9.00,standard,Fried kumara chips with garlic aioli dip.,,,
,Menu,,,,Sides,,,,Prawn twisters,12.00,standard,5 Fried prawn twister with sweet chili dip.,,,
,Menu,,,,Sides,,,,Squid ring,10.00,standard,6 deep fried squid rings with sweet chili dip.,,,
,Menu,,,,Sides,,,,Chicken nuggets,12.00,standard,7 Chicken nuggets with 1 dip,,,
,Menu,,,,Beverages,,,,Can Drinks,3.00,standard,330 mL.,,,
,Menu,,,,Beverages,,,,Bottle Drinks,5.00,standard,,,,
,Menu,,,,Dip,,,,Garlic Aioli,2.00,standard,Rich and creamy dip infused with garlic.,,,
,Menu,,,,Dip,,,,Sweet Chilli,2.00,standard,Sweet and spicy dipping sauce.,,,
,Menu,,,,Dip,,,,Yoghurt,2.00,standard,A refreshing and tangy accompaniment to your meal.,,,
,Menu,,,,Dip,,,,Hummus,2.00,standard,Traditional Middle Eastern dip made from chickpeas.,,,
,Menu,,,,Dip,,,,Mint Garlic Yoghurt,2.00,standard,Fresh yoghurt infused with the cooling essence of mint and a hint of garlic.,,,
,Menu,,,,Dip,,,,Mint,2.00,standard,Fresh and cooling herb dip.,,,
,Menu,,,,Dip,,,,Mayonnaise,2.00,standard,Rich and creamy condiment perfect for dipping.,,,
,Menu,,,,Dip,,,,BBQ,2.00,standard,Tangy and smoky dipping sauce.,,,
,Menu,,,,Dip,,,,Hot Chilli,2.00,standard,Spicy and flavorful dip.,,,
,Menu,,,,Dip,,,,Tomato,2.00,standard,,,,
,Menu,,,,Dip,,,,Tartar,2.00,standard,,,,
,Menu,,,,Dip,,,,Mustard,2.00,standard,Tangy and pungent condiment adding flavour to your meal.,,,
,Menu,,,,Dip,,,,Sour cream,2.00,standard,Tangy and creamy accompaniment to your meal.,,,
,Menu,,,,Dip,,,,Chicken nuggets,12.00,standard,7 chicken nuggets with 1 dip.,,,
,Menu,,,,Specials,,,,Kebab wrap combo for three,58.00,standard,"Three kebab wraps, three can drinks and three chips.",,,
,Menu,,,,Specials,,,,Combo Three,52.00,standard,"Two Rice dish/Meat on chips , Two can drinks and two chips.",,,
,Menu,,,,Specials,,,,Combo Four,74.00,standard,"Three Rice dish/Meat on chips, Three can drinks and three chips.",,,
,Menu,,,,Specials,,,,Combo Five,32.00,standard,"Two yokum burger/Beef burger, One chips and one 1.5 litre.",,,
